Item,Value
Average Length of ICU Stay (days),"5.76 (median 3.76, std 5.80)"
Average Age at ICU Admission,"65.80 (median 68.00, std 16.49)"
[comorbidity] myocardial_infarct,"4919, (18.09 %)"
[comorbidity] congestive_heart_failure,"8465, (31.13 %)"
[comorbidity] peripheral_vascular_disease,"3358, (12.35 %)"
[comorbidity] cerebrovascular_disease,"5236, (19.26 %)"
[comorbidity] dementia,"1071, (3.94 %)"
[comorbidity] chronic_pulmonary_disease,"7120, (26.18 %)"
[comorbidity] rheumatic_disease,"956, (3.52 %)"
[comorbidity] peptic_ulcer_disease,"751, (2.76 %)"
[comorbidity] mild_liver_disease,"3386, (12.45 %)"
[comorbidity] diabetes_without_cc,"6316, (23.23 %)"
[comorbidity] diabetes_with_cc,"2691, (9.90 %)"
[comorbidity] paraplegia,"1906, (7.01 %)"
[comorbidity] renal_disease,"5942, (21.85 %)"
[comorbidity] malignant_cancer,"3732, (13.72 %)"
[comorbidity] severe_liver_disease,"1559, (5.73 %)"
[comorbidity] metastatic_solid_tumor,"1828, (6.72 %)"
[comorbidity] aids,"174, (0.64 %)"
[comorbidity] Average CCI,"5.14 (median 5.00, std 3.03)"
[gender] M,"15240, (56.05 %)"
[gender] F,"11952, (43.95 %)"
[race] WHITE,"17387, (63.94 %)"
[race] UNKNOWN,"3068, (11.28 %)"
[race] BLACK/AFRICAN AMERICAN,"2065, (7.59 %)"
[race] OTHER,"917, (3.37 %)"
[race] WHITE - OTHER EUROPEAN,"491, (1.81 %)"
[race] UNABLE TO OBTAIN,"388, (1.43 %)"
[race] HISPANIC/LATINO - PUERTO RICAN,"322, (1.18 %)"
[race] ASIAN,"311, (1.14 %)"
[race] ASIAN - CHINESE,"283, (1.04 %)"
[race] WHITE - RUSSIAN,"246, (0.90 %)"
[race] HISPANIC OR LATINO,"210, (0.77 %)"
[race] HISPANIC/LATINO - DOMINICAN,"204, (0.75 %)"
[race] PATIENT DECLINED TO ANSWER,"161, (0.59 %)"
[race] BLACK/CAPE VERDEAN,"161, (0.59 %)"
[race] BLACK/CARIBBEAN ISLAND,"155, (0.57 %)"
[race] BLACK/AFRICAN,"107, (0.39 %)"
[race] PORTUGUESE,"104, (0.38 %)"
[race] ASIAN - SOUTH EAST ASIAN,"92, (0.34 %)"
[race] ASIAN - ASIAN INDIAN,"61, (0.22 %)"
[race] WHITE - EASTERN EUROPEAN,"57, (0.21 %)"
[race] AMERICAN INDIAN/ALASKA NATIVE,"54, (0.20 %)"
[race] HISPANIC/LATINO - GUATEMALAN,"53, (0.19 %)"
[race] WHITE - BRAZILIAN,"50, (0.18 %)"
[race] NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,"41, (0.15 %)"
[race] HISPANIC/LATINO - SALVADORAN,"35, (0.13 %)"
[race] HISPANIC/LATINO - MEXICAN,"26, (0.10 %)"
[race] SOUTH AMERICAN,"26, (0.10 %)"
[race] ASIAN - KOREAN,"25, (0.09 %)"
[race] HISPANIC/LATINO - COLUMBIAN,"23, (0.08 %)"
[race] HISPANIC/LATINO - CUBAN,"21, (0.08 %)"
[race] HISPANIC/LATINO - HONDURAN,"17, (0.06 %)"
[race] MULTIPLE RACE/ETHNICITY,"16, (0.06 %)"
[race] HISPANIC/LATINO - CENTRAL AMERICAN,"15, (0.06 %)"
[hospital_expire_flag] 0,"22787, (83.80 %)"
[hospital_expire_flag] 1,"4405, (16.20 %)"
[unit] Medical Intensive Care Unit (MICU),"5115, (18.81 %)"
[unit] Cardiac Vascular Intensive Care Unit (CVICU),"4768, (17.53 %)"
[unit] Surgical Intensive Care Unit (SICU),"4275, (15.72 %)"
[unit] Medical/Surgical Intensive Care Unit (MICU/SICU),"4252, (15.64 %)"
[unit] Trauma SICU (TSICU),"3345, (12.30 %)"
[unit] Coronary Care Unit (CCU),"3086, (11.35 %)"
[unit] Neuro Surgical Intensive Care Unit (Neuro SICU),"1043, (3.84 %)"
[unit] Neuro Intermediate,"975, (3.59 %)"
[unit] Neuro Stepdown,"333, (1.22 %)"
