Item,Value
ECMO,"139, (100.00 %)"
ECMO time (hrs),"220.01 (median 132.73, std 296.92)"
Average Length of ICU Stay (days),"20.42 (median 14.37, std 20.37)"
VA Configuration,"91, (65.47 %)"
Average Age at ICU Admission,"52.89 (median 53.15, std 14.11)"
[comorbidity] myocardial_infarct,"40, (28.78 %)"
[comorbidity] congestive_heart_failure,"83, (59.71 %)"
[comorbidity] peripheral_vascular_disease,"22, (15.83 %)"
[comorbidity] cerebrovascular_disease,"25, (17.99 %)"
[comorbidity] dementia,"0, (0.00 %)"
[comorbidity] chronic_pulmonary_disease,"29, (20.86 %)"
[comorbidity] rheumatic_disease,"4, (2.88 %)"
[comorbidity] peptic_ulcer_disease,"6, (4.32 %)"
[comorbidity] mild_liver_disease,"15, (10.79 %)"
[comorbidity] diabetes_without_cc,"31, (22.30 %)"
[comorbidity] diabetes_with_cc,"12, (8.63 %)"
[comorbidity] paraplegia,"5, (3.60 %)"
[comorbidity] renal_disease,"23, (16.55 %)"
[comorbidity] malignant_cancer,"5, (3.60 %)"
[comorbidity] severe_liver_disease,"4, (2.88 %)"
[comorbidity] metastatic_solid_tumor,"0, (0.00 %)"
[comorbidity] aids,"2, (1.44 %)"
[comorbidity] Average CCI,"3.68 (median 3.00, std 2.36)"
Total Stays,"139, (100.00 %)"
[gender] M,"103, (74.10 %)"
[gender] F,"36, (25.90 %)"
[race] WHITE,"53, (38.13 %)"
[race] UNKNOWN,"40, (28.78 %)"
[race] BLACK/AFRICAN AMERICAN,"13, (9.35 %)"
[race] UNABLE TO OBTAIN,"7, (5.04 %)"
[race] WHITE - OTHER EUROPEAN,"5, (3.60 %)"
[race] HISPANIC/LATINO - PUERTO RICAN,"4, (2.88 %)"
[race] HISPANIC/LATINO - DOMINICAN,"3, (2.16 %)"
[race] ASIAN - CHINESE,"3, (2.16 %)"
[race] BLACK/CARIBBEAN ISLAND,"2, (1.44 %)"
[race] OTHER,"2, (1.44 %)"
[race] WHITE - EASTERN EUROPEAN,"1, (0.72 %)"
[race] WHITE - BRAZILIAN,"1, (0.72 %)"
[race] ASIAN - SOUTH EAST ASIAN,"1, (0.72 %)"
[race] AMERICAN INDIAN/ALASKA NATIVE,"1, (0.72 %)"
[race] HISPANIC/LATINO - COLUMBIAN,"1, (0.72 %)"
[race] HISPANIC/LATINO - SALVADORAN,"1, (0.72 %)"
[race] BLACK/CAPE VERDEAN,"1, (0.72 %)"
[hospital_expire_flag] 1,"75, (53.96 %)"
[hospital_expire_flag] 0,"64, (46.04 %)"
[unit] Cardiac Vascular Intensive Care Unit (CVICU),"77, (55.40 %)"
[unit] Coronary Care Unit (CCU),"30, (21.58 %)"
[unit] Medical Intensive Care Unit (MICU),"20, (14.39 %)"
[unit] Trauma SICU (TSICU),"6, (4.32 %)"
[unit] Surgical Intensive Care Unit (SICU),"4, (2.88 %)"
[unit] Medical/Surgical Intensive Care Unit (MICU/SICU),"1, (0.72 %)"
[unit] Surgery/Vascular/Intermediate,"1, (0.72 %)"
