Item,Value
ECMO,"139, (0.39 %)"
ECMO time (hrs),"220.01 (median 132.73, std 296.92)"
Average Length of ICU Stay (days),"6.05 (median 3.86, std 6.49)"
VA Configuration,"91, (0.25 %)"
Average Age at ICU Admission,"66.26 (median 68.05, std 16.39)"
[comorbidity] myocardial_infarct,"6512, (18.19 %)"
[comorbidity] congestive_heart_failure,"11075, (30.94 %)"
[comorbidity] peripheral_vascular_disease,"4353, (12.16 %)"
[comorbidity] cerebrovascular_disease,"7335, (20.49 %)"
[comorbidity] dementia,"1545, (4.32 %)"
[comorbidity] chronic_pulmonary_disease,"9008, (25.17 %)"
[comorbidity] rheumatic_disease,"1256, (3.51 %)"
[comorbidity] peptic_ulcer_disease,"1019, (2.85 %)"
[comorbidity] mild_liver_disease,"4411, (12.32 %)"
[comorbidity] diabetes_without_cc,"8451, (23.61 %)"
[comorbidity] diabetes_with_cc,"4016, (11.22 %)"
[comorbidity] paraplegia,"2854, (7.97 %)"
[comorbidity] renal_disease,"7931, (22.16 %)"
[comorbidity] malignant_cancer,"4937, (13.79 %)"
[comorbidity] severe_liver_disease,"2149, (6.00 %)"
[comorbidity] metastatic_solid_tumor,"2425, (6.77 %)"
[comorbidity] aids,"206, (0.58 %)"
[comorbidity] Average CCI,"5.27 (median 5.00, std 3.05)"
Total Stays,"35794, (100.00 %)"
[gender] M,"20216, (56.48 %)"
[gender] F,"15578, (43.52 %)"
[race] WHITE,"21887, (61.15 %)"
[race] UNKNOWN,"4121, (11.51 %)"
[race] BLACK/AFRICAN AMERICAN,"2765, (7.72 %)"
[race] OTHER,"1220, (3.41 %)"
[race] UNABLE TO OBTAIN,"968, (2.70 %)"
[race] WHITE - OTHER EUROPEAN,"884, (2.47 %)"
[race] HISPANIC/LATINO - PUERTO RICAN,"436, (1.22 %)"
[race] ASIAN,"405, (1.13 %)"
[race] ASIAN - CHINESE,"399, (1.11 %)"
[race] WHITE - RUSSIAN,"332, (0.93 %)"
[race] HISPANIC/LATINO - DOMINICAN,"299, (0.84 %)"
[race] BLACK/CARIBBEAN ISLAND,"234, (0.65 %)"
[race] HISPANIC OR LATINO,"226, (0.63 %)"
[race] BLACK/CAPE VERDEAN,"222, (0.62 %)"
[race] PATIENT DECLINED TO ANSWER,"199, (0.56 %)"
[race] BLACK/AFRICAN,"163, (0.46 %)"
[race] PORTUGUESE,"146, (0.41 %)"
[race] ASIAN - SOUTH EAST ASIAN,"130, (0.36 %)"
[race] WHITE - EASTERN EUROPEAN,"94, (0.26 %)"
[race] ASIAN - ASIAN INDIAN,"88, (0.25 %)"
[race] HISPANIC/LATINO - GUATEMALAN,"77, (0.22 %)"
[race] AMERICAN INDIAN/ALASKA NATIVE,"77, (0.22 %)"
[race] WHITE - BRAZILIAN,"66, (0.18 %)"
[race] HISPANIC/LATINO - SALVADORAN,"63, (0.18 %)"
[race] NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,"54, (0.15 %)"
[race] SOUTH AMERICAN,"36, (0.10 %)"
[race] HISPANIC/LATINO - MEXICAN,"36, (0.10 %)"
[race] ASIAN - KOREAN,"35, (0.10 %)"
[race] HISPANIC/LATINO - HONDURAN,"31, (0.09 %)"
[race] HISPANIC/LATINO - CUBAN,"30, (0.08 %)"
[race] HISPANIC/LATINO - COLUMBIAN,"28, (0.08 %)"
[race] HISPANIC/LATINO - CENTRAL AMERICAN,"27, (0.08 %)"
[race] MULTIPLE RACE/ETHNICITY,"16, (0.04 %)"
[hospital_expire_flag] 0,"29768, (83.16 %)"
[hospital_expire_flag] 1,"6026, (16.84 %)"
[unit] Medical Intensive Care Unit (MICU),"7054, (19.71 %)"
[unit] Cardiac Vascular Intensive Care Unit (CVICU),"6099, (17.04 %)"
[unit] Medical/Surgical Intensive Care Unit (MICU/SICU),"5045, (14.09 %)"
[unit] Surgical Intensive Care Unit (SICU),"4934, (13.78 %)"
[unit] Coronary Care Unit (CCU),"3979, (11.12 %)"
[unit] Trauma SICU (TSICU),"3905, (10.91 %)"
[unit] Neuro Intermediate,"3126, (8.73 %)"
[unit] Neuro Surgical Intensive Care Unit (Neuro SICU),"815, (2.28 %)"
[unit] Neuro Stepdown,"628, (1.75 %)"
[unit] Surgery/Vascular/Intermediate,"114, (0.32 %)"
[unit] PACU,"51, (0.14 %)"
[unit] Intensive Care Unit (ICU),"23, (0.06 %)"
[unit] Medicine,"13, (0.04 %)"
[unit] Surgery/Trauma,"7, (0.02 %)"
[unit] Neurology,"1, (0.00 %)"
